Date: 2023-10-29 13:48:17s, Time_Cost: 97s, Epoch: [89/100],Val_PSNR: 62.67, Val_SSIM: 1.0000
Date: 2023-10-29 13:49:54s, Time_Cost: 97s, Epoch: [90/100],Val_PSNR: 63.06, Val_SSIM: 1.0000
Date: 2023-10-29 13:51:31s, Time_Cost: 97s, Epoch: [91/100],Val_PSNR: 63.92, Val_SSIM: 1.0000
Date: 2023-10-29 13:53:08s, Time_Cost: 97s, Epoch: [92/100],Val_PSNR: 65.01, Val_SSIM: 1.0000
Date: 2023-10-29 13:54:45s, Time_Cost: 97s, Epoch: [93/100],Val_PSNR: 66.00, Val_SSIM: 1.0000
Date: 2023-10-29 13:56:22s, Time_Cost: 97s, Epoch: [94/100],Val_PSNR: 67.00, Val_SSIM: 1.0000
Date: 2023-10-29 13:57:59s, Time_Cost: 97s, Epoch: [95/100],Val_PSNR: 67.89, Val_SSIM: 1.0000
Date: 2023-10-29 13:59:36s, Time_Cost: 97s, Epoch: [96/100],Val_PSNR: 69.36, Val_SSIM: 1.0000
Date: 2023-10-29 14:01:13s, Time_Cost: 97s, Epoch: [97/100],Val_PSNR: 70.82, Val_SSIM: 1.0000
Date: 2023-10-29 14:02:50s, Time_Cost: 97s, Epoch: [98/100],Val_PSNR: 72.31, Val_SSIM: 1.0000
Date: 2023-10-29 14:04:28s, Time_Cost: 97s, Epoch: [99/100],Val_PSNR: 73.47, Val_SSIM: 1.0000
Date: 2023-10-29 14:06:06s, Time_Cost: 98s, Epoch: [100/100],Val_PSNR: 73.83, Val_SSIM: 1.0000
Date: 2023-10-29 14:29:57s, Time_Cost: 108s, Epoch: [1/100],Val_PSNR: 27.82, Val_SSIM: 0.9378
Date: 2023-10-29 14:31:39s, Time_Cost: 103s, Epoch: [2/100],Val_PSNR: 34.34, Val_SSIM: 0.9933
Date: 2023-10-29 14:33:20s, Time_Cost: 100s, Epoch: [3/100],Val_PSNR: 36.24, Val_SSIM: 0.9963
Date: 2023-10-29 14:35:00s, Time_Cost: 100s, Epoch: [4/100],Val_PSNR: 37.85, Val_SSIM: 0.9974
Date: 2023-10-29 14:36:40s, Time_Cost: 100s, Epoch: [5/100],Val_PSNR: 38.23, Val_SSIM: 0.9978
Date: 2023-10-29 14:38:21s, Time_Cost: 100s, Epoch: [6/100],Val_PSNR: 39.23, Val_SSIM: 0.9982
Date: 2023-10-29 14:40:01s, Time_Cost: 100s, Epoch: [7/100],Val_PSNR: 40.11, Val_SSIM: 0.9985
Date: 2023-10-29 14:41:42s, Time_Cost: 100s, Epoch: [8/100],Val_PSNR: 40.35, Val_SSIM: 0.9987
Date: 2023-10-29 14:43:22s, Time_Cost: 101s, Epoch: [9/100],Val_PSNR: 40.78, Val_SSIM: 0.9988
